icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map,label
9679,Poisoning by unspecified sedative or hypnotic,T4273XA,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, assault, initial encounter",1,0,0,0,0,one_to_many
9679,Poisoning by unspecified sedative or hypnotic,T4274XA,"Poisoning by unspecified antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter",1,0,0,0,0,one_to_many
9680,Poisoning by central nervous system muscle-tone depressants,T428X1A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9680,Poisoning by central nervous system muscle-tone depressants,T428X2A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9680,Poisoning by central nervous system muscle-tone depressants,T428X3A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, assault, initial encounter",1,0,0,0,0,one_to_many
9680,Poisoning by central nervous system muscle-tone depressants,T428X4A,"Poisoning by antiparkinsonism drugs and other central muscle-tone depressants, undetermined, initial encounter",1,0,0,0,0,one_to_many
9682,Poisoning by other gaseous anesthetics,T410X1A,"Poisoning by inhaled anesthetics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9682,Poisoning by other gaseous anesthetics,T410X2A,"Poisoning by inhaled anesthetics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9682,Poisoning by other gaseous anesthetics,T410X3A,"Poisoning by inhaled anesthetics, assault, initial encounter",1,0,0,0,0,one_to_many
9682,Poisoning by other gaseous anesthetics,T410X4A,"Poisoning by inhaled anesthetics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9683,Poisoning by intravenous anesthetics,T411X1A,"Poisoning by intravenous anesthetics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9683,Poisoning by intravenous anesthetics,T411X2A,"Poisoning by intravenous anesthetics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9683,Poisoning by intravenous anesthetics,T411X3A,"Poisoning by intravenous anesthetics, assault, initial encounter",1,0,0,0,0,one_to_many
9683,Poisoning by intravenous anesthetics,T411X4A,"Poisoning by intravenous anesthetics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41201A,"Poisoning by unspecified general anesthetics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41202A,"Poisoning by unspecified general anesthetics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41203A,"Poisoning by unspecified general anesthetics, assault, initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41204A,"Poisoning by unspecified general anesthetics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41291A,"Poisoning by other general anesthetics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41292A,"Poisoning by other general anesthetics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41293A,"Poisoning by other general anesthetics, assault, initial encounter",1,0,0,0,0,one_to_many
9684,Poisoning by other and unspecified general anesthetics,T41294A,"Poisoning by other general anesthetics, undetermined, initial encounter",1,0,0,0,0,one_to_many
96900,"Poisoning by antidepressant, unspecified",T43201A,"Poisoning by unspecified antidepressants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96900,"Poisoning by antidepressant, unspecified",T43202A,"Poisoning by unspecified antidepressants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96900,"Poisoning by antidepressant, unspecified",T43203A,"Poisoning by unspecified antidepressants, assault, initial encounter",1,0,0,0,0,one_to_many
96900,"Poisoning by antidepressant, unspecified",T43204A,"Poisoning by unspecified antidepressants, undetermined, initial encounter",1,0,0,0,0,one_to_many
96901,Poisoning by monoamine oxidase inhibitors,T431X1A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96901,Poisoning by monoamine oxidase inhibitors,T431X2A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96901,Poisoning by monoamine oxidase inhibitors,T431X3A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, assault, initial encounter",1,0,0,0,0,one_to_many
96901,Poisoning by monoamine oxidase inhibitors,T431X4A,"Poisoning by monoamine-oxidase-inhibitor antidepressants, undetermined, initial encounter",1,0,0,0,0,one_to_many
96902,Poisoning by selective serotonin and norepinephrine reuptake inhibitors,T43211A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96902,Poisoning by selective serotonin and norepinephrine reuptake inhibitors,T43212A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96902,Poisoning by selective serotonin and norepinephrine reuptake inhibitors,T43213A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, assault, initial encounter",1,0,0,0,0,one_to_many
96902,Poisoning by selective serotonin and norepinephrine reuptake inhibitors,T43214A,"Poisoning by selective serotonin and norepinephrine reuptake inhibitors, undetermined, initial encounter",1,0,0,0,0,one_to_many
96903,Poisoning by selective serotonin reuptake inhibitors,T43221A,"Poisoning by selective serotonin reuptake inhibitors, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96903,Poisoning by selective serotonin reuptake inhibitors,T43222A,"Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96903,Poisoning by selective serotonin reuptake inhibitors,T43223A,"Poisoning by selective serotonin reuptake inhibitors, assault, initial encounter",1,0,0,0,0,one_to_many
96903,Poisoning by selective serotonin reuptake inhibitors,T43224A,"Poisoning by selective serotonin reuptake inhibitors, undetermined, initial encounter",1,0,0,0,0,one_to_many
96904,Poisoning by tetracyclic antidepressants,T43021A,"Poisoning by tetracyclic antidepressants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96904,Poisoning by tetracyclic antidepressants,T43022A,"Poisoning by tetracyclic antidepressants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96904,Poisoning by tetracyclic antidepressants,T43023A,"Poisoning by tetracyclic antidepressants, assault, initial encounter",1,0,0,0,0,one_to_many
96904,Poisoning by tetracyclic antidepressants,T43024A,"Poisoning by tetracyclic antidepressants, undetermined, initial encounter",1,0,0,0,0,one_to_many
96905,Poisoning by tricyclic antidepressants,T43011A,"Poisoning by tricyclic antidepressants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96905,Poisoning by tricyclic antidepressants,T43012A,"Poisoning by tricyclic antidepressants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96905,Poisoning by tricyclic antidepressants,T43013A,"Poisoning by tricyclic antidepressants, assault, initial encounter",1,0,0,0,0,one_to_many
96905,Poisoning by tricyclic antidepressants,T43014A,"Poisoning by tricyclic antidepressants, undetermined, initial encounter",1,0,0,0,0,one_to_many
96909,Poisoning by other antidepressants,T43291A,"Poisoning by other antidepressants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96909,Poisoning by other antidepressants,T43292A,"Poisoning by other antidepressants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96909,Poisoning by other antidepressants,T43293A,"Poisoning by other antidepressants, assault, initial encounter",1,0,0,0,0,one_to_many
96909,Poisoning by other antidepressants,T43294A,"Poisoning by other antidepressants, undetermined, initial encounter",1,0,0,0,0,one_to_many
9691,Poisoning by phenothiazine-based tranquilizers,T433X1A,"Poisoning by phenothiazine antipsychotics and neuroleptics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9691,Poisoning by phenothiazine-based tranquilizers,T433X2A,"Poisoning by phenothiazine antipsychotics and neuroleptics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9691,Poisoning by phenothiazine-based tranquilizers,T433X3A,"Poisoning by phenothiazine antipsychotics and neuroleptics, assault, initial encounter",1,0,0,0,0,one_to_many
9691,Poisoning by phenothiazine-based tranquilizers,T433X4A,"Poisoning by phenothiazine antipsychotics and neuroleptics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9692,Poisoning by butyrophenone-based tranquilizers,T434X1A,"Poisoning by butyrophenone and thiothixene neuroleptics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9692,Poisoning by butyrophenone-based tranquilizers,T434X2A,"Poisoning by butyrophenone and thiothixene neuroleptics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9692,Poisoning by butyrophenone-based tranquilizers,T434X3A,"Poisoning by butyrophenone and thiothixene neuroleptics, assault, initial encounter",1,0,0,0,0,one_to_many
9692,Poisoning by butyrophenone-based tranquilizers,T434X4A,"Poisoning by butyrophenone and thiothixene neuroleptics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43501A,"Poisoning by unspecified antipsychotics and neuroleptics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43502A,"Poisoning by unspecified antipsychotics and neuroleptics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43503A,"Poisoning by unspecified antipsychotics and neuroleptics, assault, initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43504A,"Poisoning by unspecified antipsychotics and neuroleptics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43591A,"Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43592A,"Poisoning by other antipsychotics and neuroleptics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43593A,"Poisoning by other antipsychotics and neuroleptics, assault, initial encounter",1,0,0,0,0,one_to_many
9693,"Poisoning by other antipsychotics, neuroleptics, and major tranquilizers",T43594A,"Poisoning by other antipsychotics and neuroleptics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9694,Poisoning by benzodiazepine-based tranquilizers,T424X1A,"Poisoning by benzodiazepines, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9694,Poisoning by benzodiazepine-based tranquilizers,T424X2A,"Poisoning by benzodiazepines, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9694,Poisoning by benzodiazepine-based tranquilizers,T424X3A,"Poisoning by benzodiazepines, assault, initial encounter",1,0,0,0,0,one_to_many
9694,Poisoning by benzodiazepine-based tranquilizers,T424X4A,"Poisoning by benzodiazepines, undetermined, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T407X1A,"Poisoning by cannabis (derivatives), accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T407X2A,"Poisoning by cannabis (derivatives), intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T407X3A,"Poisoning by cannabis (derivatives), assault, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T407X4A,"Poisoning by cannabis (derivatives), undetermined, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T408X2A,"Poisoning by lysergide [LSD], intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T408X3A,"Poisoning by lysergide [LSD], assault, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T408X4A,"Poisoning by lysergide [LSD], undetermined, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40901A,"Poisoning by unspecified psychodysleptics [hallucinogens], accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40902A,"Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40903A,"Poisoning by unspecified psychodysleptics [hallucinogens], assault, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40904A,"Poisoning by unspecified psychodysleptics [hallucinogens], undetermined, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40991A,"Poisoning by other psychodysleptics [hallucinogens], accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40992A,"Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40993A,"Poisoning by other psychodysleptics [hallucinogens], assault, initial encounter",1,0,0,0,0,one_to_many
9696,Poisoning by psychodysleptics (hallucinogens),T40994A,"Poisoning by other psychodysleptics [hallucinogens], undetermined, initial encounter",1,0,0,0,0,one_to_many
96970,"Poisoning by psychostimulant, unspecified",T43601A,"Poisoning by unspecified psychostimulants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96970,"Poisoning by psychostimulant, unspecified",T43602A,"Poisoning by unspecified psychostimulants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96970,"Poisoning by psychostimulant, unspecified",T43603A,"Poisoning by unspecified psychostimulants, assault, initial encounter",1,0,0,0,0,one_to_many
96970,"Poisoning by psychostimulant, unspecified",T43604A,"Poisoning by unspecified psychostimulants, undetermined, initial encounter",1,0,0,0,0,one_to_many
96971,Poisoning by caffeine,T43611A,"Poisoning by caffeine, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96971,Poisoning by caffeine,T43612A,"Poisoning by caffeine, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96971,Poisoning by caffeine,T43613A,"Poisoning by caffeine, assault, initial encounter",1,0,0,0,0,one_to_many
96971,Poisoning by caffeine,T43614A,"Poisoning by caffeine, undetermined, initial encounter",1,0,0,0,0,one_to_many
96972,Poisoning by amphetamines,T43621A,"Poisoning by amphetamines, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96972,Poisoning by amphetamines,T43622A,"Poisoning by amphetamines, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96972,Poisoning by amphetamines,T43623A,"Poisoning by amphetamines, assault, initial encounter",1,0,0,0,0,one_to_many
96972,Poisoning by amphetamines,T43624A,"Poisoning by amphetamines, undetermined, initial encounter",1,0,0,0,0,one_to_many
96973,Poisoning by methylphenidate,T43631A,"Poisoning by methylphenidate, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96973,Poisoning by methylphenidate,T43632A,"Poisoning by methylphenidate, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96973,Poisoning by methylphenidate,T43633A,"Poisoning by methylphenidate, assault, initial encounter",1,0,0,0,0,one_to_many
96973,Poisoning by methylphenidate,T43634A,"Poisoning by methylphenidate, undetermined, initial encounter",1,0,0,0,0,one_to_many
96979,Poisoning by other psychostimulants,T43691A,"Poisoning by other psychostimulants, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
96979,Poisoning by other psychostimulants,T43692A,"Poisoning by other psychostimulants, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
96979,Poisoning by other psychostimulants,T43693A,"Poisoning by other psychostimulants, assault, initial encounter",1,0,0,0,0,one_to_many
96979,Poisoning by other psychostimulants,T43694A,"Poisoning by other psychostimulants, undetermined, initial encounter",1,0,0,0,0,one_to_many
9698,Poisoning by other specified psychotropic agents,T438X1A,"Poisoning by other psychotropic drugs, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9698,Poisoning by other specified psychotropic agents,T438X2A,"Poisoning by other psychotropic drugs, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9698,Poisoning by other specified psychotropic agents,T438X3A,"Poisoning by other psychotropic drugs, assault, initial encounter",1,0,0,0,0,one_to_many
9698,Poisoning by other specified psychotropic agents,T438X4A,"Poisoning by other psychotropic drugs, undetermined, initial encounter",1,0,0,0,0,one_to_many
9699,Poisoning by unspecified psychotropic agent,T4391XA,"Poisoning by unspecified psychotropic drug, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9699,Poisoning by unspecified psychotropic agent,T4392XA,"Poisoning by unspecified psychotropic drug, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9699,Poisoning by unspecified psychotropic agent,T4393XA,"Poisoning by unspecified psychotropic drug, assault, initial encounter",1,0,0,0,0,one_to_many
9699,Poisoning by unspecified psychotropic agent,T4394XA,"Poisoning by unspecified psychotropic drug, undetermined, initial encounter",1,0,0,0,0,one_to_many
9701,Poisoning by opiate antagonists,T507X1A,"Poisoning by analeptics and opioid receptor antagonists, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9701,Poisoning by opiate antagonists,T507X2A,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9701,Poisoning by opiate antagonists,T507X3A,"Poisoning by analeptics and opioid receptor antagonists, assault, initial encounter",1,0,0,0,0,one_to_many
9701,Poisoning by opiate antagonists,T507X4A,"Poisoning by analeptics and opioid receptor antagonists, undetermined, initial encounter",1,0,0,0,0,one_to_many
97081,Poisoning by cocaine,T405X1A,"Poisoning by cocaine, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
97081,Poisoning by cocaine,T405X2A,"Poisoning by cocaine, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
97081,Poisoning by cocaine,T405X3A,"Poisoning by cocaine, assault, initial encounter",1,0,0,0,0,one_to_many
97081,Poisoning by cocaine,T405X4A,"Poisoning by cocaine, undetermined, initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T440X1A,"Poisoning by anticholinesterase agents, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T440X2A,"Poisoning by anticholinesterase agents, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T440X3A,"Poisoning by anticholinesterase agents, assault, initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T440X4A,"Poisoning by anticholinesterase agents, undetermined, initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T441X1A,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T441X2A,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T441X3A,"Poisoning by other parasympathomimetics [cholinergics], assault, initial encounter",1,0,0,0,0,one_to_many
9710,Poisoning by parasympathomimetics (cholinergics),T441X4A,"Poisoning by other parasympathomimetics [cholinergics], undetermined, initial encounter",1,0,0,0,0,one_to_many
9711,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,T443X1A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9711,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,T443X2A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9711,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,T443X3A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, assault, initial encounter",1,0,0,0,0,one_to_many
9711,Poisoning by parasympatholytics (anticholinergics and antimuscarinics) and spasmolytics,T443X4A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T444X1A,"Poisoning by predominantly alpha-adrenoreceptor agonists, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T444X2A,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T444X3A,"Poisoning by predominantly alpha-adrenoreceptor agonists, assault, initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T444X4A,"Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T445X1A,"Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T445X2A,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T445X3A,"Poisoning by predominantly beta-adrenoreceptor agonists, assault, initial encounter",1,0,0,0,0,one_to_many
9712,Poisoning by sympathomimetics [adrenergics],T445X4A,"Poisoning by predominantly beta-adrenoreceptor agonists, undetermined, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T446X1A,"Poisoning by alpha-adrenoreceptor antagonists, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T446X2A,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T446X3A,"Poisoning by alpha-adrenoreceptor antagonists, assault, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T446X4A,"Poisoning by alpha-adrenoreceptor antagonists, undetermined, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T447X1A,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T447X2A,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T447X3A,"Poisoning by beta-adrenoreceptor antagonists, assault, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T447X4A,"Poisoning by beta-adrenoreceptor antagonists, undetermined, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T448X1A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T448X2A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T448X3A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, assault, initial encounter",1,0,0,0,0,one_to_many
9713,Poisoning by sympatholytics [antiadrenergics],T448X4A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, undetermined, initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44901A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44902A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44903A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault, initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44904A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44991A,"Poisoning by other drug primarily affecting the autonomic nervous system, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44992A,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44993A,"Poisoning by other drug primarily affecting the autonomic nervous system, assault, initial encounter",1,0,0,0,0,one_to_many
9719,Poisoning by unspecified drug primarily affecting autonomic nervous system,T44994A,"Poisoning by other drug primarily affecting the autonomic nervous system, undetermined, initial encounter",1,0,0,0,0,one_to_many
9720,Poisoning by cardiac rhythm regulators,T462X1A,"Poisoning by other antidysrhythmic drugs, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9720,Poisoning by cardiac rhythm regulators,T462X2A,"Poisoning by other antidysrhythmic drugs, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9720,Poisoning by cardiac rhythm regulators,T462X3A,"Poisoning by other antidysrhythmic drugs, assault, initial encounter",1,0,0,0,0,one_to_many
9720,Poisoning by cardiac rhythm regulators,T462X4A,"Poisoning by other antidysrhythmic drugs, undetermined, initial encounter",1,0,0,0,0,one_to_many
9721,Poisoning by cardiotonic glycosides and drugs of similar action,T460X1A,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9721,Poisoning by cardiotonic glycosides and drugs of similar action,T460X2A,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9721,Poisoning by cardiotonic glycosides and drugs of similar action,T460X3A,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, assault, initial encounter",1,0,0,0,0,one_to_many
9721,Poisoning by cardiotonic glycosides and drugs of similar action,T460X4A,"Poisoning by cardiac-stimulant glycosides and drugs of similar action, undetermined, initial encounter",1,0,0,0,0,one_to_many
9722,Poisoning by antilipemic and antiarteriosclerotic drugs,T466X1A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9722,Poisoning by antilipemic and antiarteriosclerotic drugs,T466X2A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9722,Poisoning by antilipemic and antiarteriosclerotic drugs,T466X3A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, assault, initial encounter",1,0,0,0,0,one_to_many
9722,Poisoning by antilipemic and antiarteriosclerotic drugs,T466X4A,"Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, undetermined, initial encounter",1,0,0,0,0,one_to_many
9724,Poisoning by coronary vasodilators,T463X1A,"Poisoning by coronary vasodilators, accidental (unintentional), initial encounter",1,0,0,0,0,one_to_many
9724,Poisoning by coronary vasodilators,T463X2A,"Poisoning by coronary vasodilators, intentional self-harm, initial encounter",1,0,0,0,0,one_to_many
9724,Poisoning by coronary vasodilators,T463X3A,"Poisoning by coronary vasodilators, assault, initial encounter",1,0,0,0,0,one_to_many
9724,Poisoning by coronary vasodilators,T463X4A,"Poisoning by coronary vasodilators, undetermined, initial encounter",1,0,0,0,0,one_to_many
