Order2018	POAexemptCode	Description
21740	M84.751G	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21741	M84.751K	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21742	M84.751P	"Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21743	M84.751S	"Incomplete atypical femoral fracture, right leg, sequela"
21746	M84.752D	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21747	M84.752G	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21748	M84.752K	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21749	M84.752P	"Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21750	M84.752S	"Incomplete atypical femoral fracture, left leg, sequela"
21753	M84.753D	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21754	M84.753G	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21755	M84.753K	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21756	M84.753P	"Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21757	M84.753S	"Incomplete atypical femoral fracture, unspecified leg, sequela"
21760	M84.754D	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21761	M84.754G	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21762	M84.754K	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21763	M84.754P	"Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21764	M84.754S	"Complete transverse atypical femoral fracture, right leg, sequela"
21767	M84.755D	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21768	M84.755G	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21769	M84.755K	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21770	M84.755P	"Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21771	M84.755S	"Complete transverse atypical femoral fracture, left leg, sequela"
21774	M84.756D	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21775	M84.756G	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21776	M84.756K	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21777	M84.756P	"Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21778	M84.756S	"Complete transverse atypical femoral fracture, unspecified leg, sequela"
21781	M84.757D	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"
21782	M84.757G	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"
21783	M84.757K	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"
21784	M84.757P	"Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"
21785	M84.757S	"Complete oblique atypical femoral fracture, right leg, sequela"
21788	M84.758D	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"
21789	M84.758G	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"
21790	M84.758K	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"
21791	M84.758P	"Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"
21792	M84.758S	"Complete oblique atypical femoral fracture, left leg, sequela"
21795	M84.759D	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"
21796	M84.759G	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"
21797	M84.759K	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"
21798	M84.759P	"Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"
21799	M84.759S	"Complete oblique atypical femoral fracture, unspecified leg, sequela"
23277	M97.01XD	"Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"
23278	M97.01XS	"Periprosthetic fracture around internal prosthetic right hip joint, sequela"
23281	M97.02XD	"Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"
23282	M97.02XS	"Periprosthetic fracture around internal prosthetic left hip joint, sequela"
23286	M97.11XD	"Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter"
23287	M97.11XS	"Periprosthetic fracture around internal prosthetic right knee joint, sequela"
23290	M97.12XD	"Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"
23291	M97.12XS	"Periprosthetic fracture around internal prosthetic left knee joint, sequela"
23295	M97.21XD	"Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"
23296	M97.21XS	"Periprosthetic fracture around internal prosthetic right ankle joint, sequela"
23299	M97.22XD	"Periprosthetic fracture around internal prosthetic left ankle joint, subsequent encounter"
23300	M97.22XS	"Periprosthetic fracture around internal prosthetic left ankle joint, sequela"
23304	M97.31XD	"Periprosthetic fracture around internal prosthetic right shoulder joint, subsequent encounter"
23305	M97.31XS	"Periprosthetic fracture around internal prosthetic right shoulder joint, sequela"
23308	M97.32XD	"Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"
23309	M97.32XS	"Periprosthetic fracture around internal prosthetic left shoulder joint, sequela"
23313	M97.41XD	"Periprosthetic fracture around internal prosthetic right elbow joint, subsequent encounter"
23314	M97.41XS	"Periprosthetic fracture around internal prosthetic right elbow joint, sequela"
23317	M97.42XD	"Periprosthetic fracture around internal prosthetic left elbow joint, subsequent encounter"
23318	M97.42XS	"Periprosthetic fracture around internal prosthetic left elbow joint, sequela"
23321	M97.8XXD	"Periprosthetic fracture around other internal prosthetic joint, subsequent encounter"
23322	M97.8XXS	"Periprosthetic fracture around other internal prosthetic joint, sequela"
23325	M97.9XXD	"Periprosthetic fracture around unspecified internal prosthetic joint, subsequent encounter"
23326	M97.9XXS	"Periprosthetic fracture around unspecified internal prosthetic joint, sequela"
24357	O09.00	"Supervision of pregnancy with history of infertility, unspecified trimester"
24358	O09.01	"Supervision of pregnancy with history of infertility, first trimester"
24359	O09.02	"Supervision of pregnancy with history of infertility, second trimester"
24360	O09.03	"Supervision of pregnancy with history of infertility, third trimester"
24362	O09.10	"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
24363	O09.11	"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
24364	O09.12	"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
24365	O09.13	"Supervision of pregnancy with history of ectopic pregnancy, third trimester"
24367	O09.A0	"Supervision of pregnancy with history of molar pregnancy, unspecified trimester"
24368	O09.A1	"Supervision of pregnancy with history of molar pregnancy, first trimester"
24369	O09.A2	"Supervision of pregnancy with history of molar pregnancy, second trimester"
24370	O09.A3	"Supervision of pregnancy with history of molar pregnancy, third trimester"
24373	O09.211	"Supervision of pregnancy with history of pre-term labor, first trimester"
24374	O09.212	"Supervision of pregnancy with history of pre-term labor, second trimester"
24375	O09.213	"Supervision of pregnancy with history of pre-term labor, third trimester"
24376	O09.219	"Supervision of pregnancy with history of pre-term labor, unspecified trimester"
24378	O09.291	"Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"
24379	O09.292	"Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"
24380	O09.293	"Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"
24381	O09.299	"Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"
24383	O09.30	"Supervision of pregnancy with insufficient antenatal care, unspecified trimester"
24384	O09.31	"Supervision of pregnancy with insufficient antenatal care, first trimester"
24385	O09.32	"Supervision of pregnancy with insufficient antenatal care, second trimester"
24386	O09.33	"Supervision of pregnancy with insufficient antenatal care, third trimester"
24388	O09.40	"Supervision of pregnancy with grand multiparity, unspecified trimester"
24389	O09.41	"Supervision of pregnancy with grand multiparity, first trimester"
24390	O09.42	"Supervision of pregnancy with grand multiparity, second trimester"
24391	O09.43	"Supervision of pregnancy with grand multiparity, third trimester"
24394	O09.511	"Supervision of elderly primigravida, first trimester"
24395	O09.512	"Supervision of elderly primigravida, second trimester"
24396	O09.513	"Supervision of elderly primigravida, third trimester"
24397	O09.519	"Supervision of elderly primigravida, unspecified trimester"
